Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2017-10-28 10:10:22,Running,,8.66,45:07,5:13,11.52,736.0,5,,,2017-10-28-1010.gpx
2017-10-27 12:46:15,Running,,12.61,1:02:04,4:55,12.19,1083.0,6,,,2017-10-27-1246.gpx
2017-10-26 07:11:10,Running,,3.23,17:16,5:20,11.24,280.0,1,,,2017-10-26-0711.gpx
2017-10-25 05:52:02,Running,,8.57,46:17,5:24,11.11,741.0,4,,,2017-10-25-0552.gpx
2017-10-24 07:23:07,Running,,12.02,1:00:21,5:01,11.95,1040.0,13,,,2017-10-24-0723.gpx
2017-10-23 08:14:44,Running,,6.35,32:37,5:08,11.69,547.0,1,,,2017-10-23-0814.gpx
2017-10-22 09:42:29,Running,,25.24,2:08:47,5:06,11.76,2195.0,45,,,2017-10-22-0942.gpx
2017-10-21 09:22:13,Running,,14.33,1:13:58,5:10,11.62,1243.0,17,,,2017-10-21-0922.gpx
2017-10-20 13:19:26,Running,,10.22,51:07,5:00,12.00,877.0,4,,,2017-10-20-1319.gpx
2017-10-19 07:37:12,Running,,9.45,48:25,5:07,11.71,816.0,3,,,2017-10-19-0737.gpx
2017-10-18 08:11:12,Running,,8.38,43:49,5:14,11.47,724.0,11,,,2017-10-18-0811.gpx
2017-10-17 07:39:12,Running,,11.25,55:17,4:55,12.21,973.0,10,,,2017-10-17-0739.gpx
2017-10-16 08:09:58,Running,,3.41,17:11,5:03,11.89,295.0,2,,,2017-10-16-0809.gpx
2017-10-15 09:18:55,Running,,4.51,27:30,6:05,9.85,431.0,137,,,2017-10-15-0918.gpx
2017-10-14 07:12:23,Running,,13.39,1:20:03,5:59,10.04,1258.0,295,,,2017-10-14-0712.gpx
2017-10-13 06:42:15,Running,,12.11,59:41,4:56,12.18,1045.0,13,,,2017-10-13-0642.gpx
2017-10-12 06:25:54,Running,,5.97,30:52,5:10,11.61,514.0,1,,,2017-10-12-0625.gpx
2017-10-11 07:00:49,Running,,8.33,44:21,5:20,11.26,719.0,4,,,2017-10-11-0700.gpx
2017-10-10 07:20:04,Running,,9.60,50:42,5:17,11.36,829.0,4,,,2017-10-10-0720.gpx
2017-10-09 06:15:03,Running,,12.15,1:03:15,5:12,11.53,1053.0,12,,,2017-10-09-0615.gpx
2017-10-08 09:28:56,Running,,7.83,40:29,5:10,11.61,673.0,3,,"",2017-10-08-0928.gpx
2017-10-07 08:35:13,Running,,18.18,1:35:38,5:16,11.41,1583.0,37,,,2017-10-07-0835.gpx
2017-10-06 07:07:04,Running,,9.99,53:19,5:20,11.25,863.0,4,,,2017-10-06-0707.gpx
2017-10-05 06:48:51,Running,,3.94,19:43,5:00,11.99,341.0,3,,"",2017-10-05-0648.gpx
2017-10-04 06:14:35,Running,,8.69,45:53,5:17,11.36,751.0,3,,,2017-10-04-0614.gpx
2017-10-03 07:43:22,Running,,8.95,46:51,5:14,11.46,771.0,3,,,2017-10-03-0743.gpx
2017-10-02 08:16:15,Running,,8.82,43:13,4:54,12.25,761.0,7,,,2017-10-02-0816.gpx
2017-10-01 09:06:30,Running,,10.63,56:10,5:17,11.35,911.0,4,,"",2017-10-01-0906.gpx
2017-09-30 09:15:46,Running,,2.82,16:06,5:42,10.52,244.0,1,,,2017-09-30-0915.gpx
2017-09-29 12:44:33,Running,,13.10,1:12:41,5:33,10.81,1135.0,13,,,2017-09-29-1244.gpx
2017-09-28 06:15:19,Running,,7.81,42:19,5:25,11.08,675.0,4,,,2017-09-28-0615.gpx
2017-09-27 07:42:54,Running,,5.26,24:56,4:45,12.65,446.0,1,,,2017-09-27-0742.gpx
2017-09-26 07:32:09,Running,,10.48,58:04,5:32,10.83,910.0,9,,,2017-09-26-0732.gpx
2017-09-25 12:31:51,Running,,8.30,40:38,4:54,12.26,718.0,2,,,2017-09-25-1231.gpx
2017-09-24 14:34:47,Running,,5.02,21:36,4:18,13.95,429.0,4,,,2017-09-24-1434.gpx
